OBJECTID1,FID,OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,GEOID20,NAME20,NAMELSAD20,MTFCC20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20,Shape_STAr,Shape_STLe,COUNT,SHAPE_Length,SHAPE_Area
1,20,21,25,025,010403,25025010403,104.03,Census Tract,G5020,S,88555,0,+42.3450750,-071.0880611,953111.6253,4227.64441,27,4227.644072,953111.4848
2,12,13,25,025,050200,25025050200,502,Census Tract,G5020,S,243271,0,+42.3775778,-071.0357577,2618361.161,9682.551535,16,9682.551181,2618360.967
3,7,8,25,025,020200,25025020200,202,Census Tract,G5020,S,108297,0,+42.3602609,-071.0685049,1165612.211,5317.768518,37,5317.769108,1165612.221
4,14,15,25,025,050400,25025050400,504,Census Tract,G5020,S,131981,0,+42.3682184,-071.0379019,1420522.302,5581.261108,12,5581.261366,1420522.319
5,15,16,25,025,050600,25025050600,506,Census Tract,G5020,S,171854,0,+42.3719233,-071.0372787,1849695.277,5898.966677,17,5898.966828,1849695.306
6,2,3,25,025,140400,25025140400,1404,Census Tract,G5020,S,1874512,11680,+42.2692219,-071.1118088,20301318.7,27404.98391,34,27441.3034,20171924.23
7,23,24,25,025,060400,25025060400,604,Census Tract,G5020,S,399279,0,+42.3323988,-071.0428981,4297519.18,9434.177364,41,9434.177659,4297519.052
8,10,11,25,025,040200,25025040200,402,Census Tract,G5020,S,141296,0,+42.3769050,-071.0567739,1520776.719,6698.68269,7,6698.683434,1520776.715
9,6,7,25,025,080601,25025080601,806.01,Census Tract,G5020,S,561665,0,+42.3333769,-071.0880443,6045267.916,16849.50338,55,16849.50342,6045267.466
10,16,17,25,025,050700,25025050700,507,Census Tract,G5020,S,267935,0,+42.3753741,-071.0332347,2883837.799,8112.873489,14,8112.873526,2883837.77
11,13,14,25,025,050300,25025050300,503,Census Tract,G5020,S,355332,364090,+42.3722392,-071.0434118,7743253.28,13380.83779,35,19583.55051,3499718.645
12,4,5,25,025,110201,25025110201,1102.01,Census Tract,G5020,S,348208,0,+42.2804960,-071.1170508,3747839.933,10276.92978,6,10276.93055,3747840.014
