OBJECTID1,FID,OBJECTID,WARD,CNT_WARD,SHAPESTAre,SHAPESTLen,COUNT,SHAPE_Length,SHAPE_Area
1,0,1,1,14,131426355.6,119239.3726,189,119455.9325,130515098.1
2,1,2,2,7,37515368.5,59588.39472,116,60335.93325,37139161.13
3,2,3,3,8,39173413,54946.49415,534,54537.09208,38846423.23
4,4,5,5,12,32796985.46,42505.5498,348,56563.27111,31821681.5
5,3,4,4,10,29182745.01,33724.00747,301,37591.11851,28624643.78
6,7,8,7,10,35963051.01,36979.65696,230,36862.83623,35757598.65
7,6,7,6,9,60007566.57,78986.1901,200,79171.09198,59578454.12
8,5,6,9,5,18742851.49,25653.9296,215,25653.92947,18742851.51
9,10,11,10,9,24652749.95,23308.19588,176,26303.00776,24074199.99
10,9,10,12,9,46221587.71,33929.15255,146,40220.1772,45898842.94
11,8,9,8,7,30389070.26,30643.11655,300,30517.06506,30299901.78
12,11,12,11,10,32841947.29,36124.95101,134,36124.95062,32841947.76
13,12,13,13,10,38497317.49,46404.63696,124,48976.03728,38131895.82
14,14,15,15,9,22040633.57,22619.19885,105,22619.19878,22040633.79
15,15,16,19,13,87142304.63,59812.30299,115,78636.6691,83986661.1
16,13,14,14,14,52769933.05,39902.63465,231,47637.84992,52714812.48
17,18,19,16,12,59628629.29,47259.35966,138,52233.07798,58721513.47
18,17,18,21,16,50022254.29,60638.42713,297,68945.94021,46138846.87
19,16,17,22,13,79705357.24,51676.31305,121,54802.74597,79124771.5
20,20,21,18,23,206402924.9,82761.54262,291,132829.0946,202256603.5
21,21,22,20,20,171798728,61855.61849,196,110784.3273,167419982.9
22,19,20,17,14,44843713.9,48757.19364,147,50228.63033,44616699.07
