OBJECTID1,FID,OBJECTID,ZIP5,ShapeSTAre,ShapeSTLen,COUNT,SHAPE_Length,SHAPE_Area
1,2,3,02110,6637283.754,18358.2135,60,24904.10758,5058756.268
2,4,5,02126,60785850.31,45488.39471,190,51653.05669,60109990.83
3,0,1,02134,37219357.28,40794.1824,122,40541.93318,37021806.72
4,3,4,02118,31161577.07,32353.40762,402,33934.55104,30992802.03
5,1,2,02125,64760516.62,62224.52144,238,65196.09474,59562521.17
6,8,9,02130,105221153,64225.02221,220,83947.33968,101546298.2
7,9,10,02121,48905922.24,35217.58192,197,40254.20303,48628730.85
8,5,6,02109,5536731.439,22538.30584,44,27477.02287,4826966.198
9,7,8,02113,2807327.853,8507.459971,87,8507.460567,2807327.824
10,14,15,02199,1603177.364,5140.730822,21,5140.730576,1603177.399
11,12,13,02163,3271313.241,7298.781943,2,6903.635311,2706287.042
12,13,14,02135,78620825.92,61170.63094,231,72560.27356,72600614.33
13,11,12,02115,19771296.03,34806.58402,218,37003.77033,19667659.38
14,10,11,02119,44511498.52,37680.7021,273,37680.69945,44511498.38
15,18,19,02114,12538634.21,27934.53142,154,29570.82815,12407976.86
16,17,18,02132,129360685.5,68024.57171,156,100411.6376,127381571
17,20,21,02136,128128953.3,65353.75783,110,112376.9,125462029.1
18,19,20,02108,6162153.076,18485.04013,95,19424.77483,6128480.243
19,16,17,02124,85658048.05,57673.00775,279,62741.4184,83663147.38
20,21,22,02111,7823799.346,13814.87949,103,13418.68653,7249081.207
21,24,25,02131,81688796.5,68311.54512,114,75991.15254,81652413.95
22,25,26,02127,67536142.74,51905.25164,277,62434.34087,55905488.59
23,23,24,02116,19117646.17,23262.91227,242,31676.14331,18583091.56
24,22,23,02210,32373210.07,36215.56402,78,50882.07093,26841203.09
25,27,28,02203,864466.752,4052.846084,10,4052.84604,864466.8281
26,28,29,02215,25198308,37861.73131,154,55569.78846,22964406.59
27,29,30,02129,42249762.53,38078.09545,116,62700.37145,37337355.33
28,30,31,02128,147802204.1,82747.69032,188,120058.0874,125818837.3
29,31,32,02122,61086361.34,74811.18401,137,86033.20605,55781608.93
30,26,27,02120,17329493.55,28148.29991,122,28148.29944,17329493.81
31,32,33,02151,8707547.791,24981.9048,1,14144.57334,4897457.172
32,41,42,02467,4467229.037,11198.56289,1,17991.97612,4329614.646
33,38,39,02467,2806999.962,10562.69323,4,10449.92923,2787325.349
34,39,40,02467,1282571.021,7052.504726,3,7048.305215,1277562.392
35,40,41,02467,8825573.507,21844.88343,5,27961.89216,8762775.943
