OBJECTID1,OBJECTID,COUNT,SHAPE_Length,SHAPE_Area
1,556,2,1999.999937,249999.9842
2,486,1,1999.999937,249999.9842
3,433,3,1999.999937,249999.9842
4,56,1,1999.999937,249999.9842
5,76,1,1999.999937,249999.9842
6,292,1,2000.000593,250000.1483
7,511,1,1999.999937,249999.9842
8,198,1,2000.000593,250000.1483
9,188,1,1999.999937,249999.9842
10,114,1,1999.999937,249999.9843
11,231,1,1999.999937,249999.9842
12,14,1,2000.000593,250000.1483
13,127,2,1999.999937,249999.9842
14,236,3,1999.999937,249999.9842
15,512,2,1999.999937,249999.9842
16,20,2,1999.999937,249999.9842
17,550,1,1999.999937,249999.9842
18,343,1,1999.999937,249999.9842
19,443,3,1999.999937,249999.9842
20,357,1,1999.999937,249999.9842
21,328,3,1999.999937,249999.9842
22,473,4,1999.999937,249999.9842
23,123,1,1999.999937,249999.9842
24,329,7,1999.999937,249999.9842
25,381,1,1999.999937,249999.9842
26,170,1,1999.999937,249999.9842
27,178,1,2000.000593,250000.1483
28,509,1,2000.000593,250000.1483
29,29,4,1999.999937,249999.9842
30,353,1,1999.999937,249999.9842
31,396,5,1999.999937,249999.9842
32,151,1,1999.999937,249999.9842
33,258,1,1999.999937,249999.9842
34,330,1,1999.999937,249999.9842
35,523,1,1999.999937,249999.9842
36,464,1,1999.999937,249999.9842
37,239,1,1999.999937,249999.9842
38,514,3,1999.999937,249999.9842
39,426,1,1999.999937,249999.9842
40,80,1,1999.999937,249999.9842
41,334,1,1999.999937,249999.9842
42,74,1,1999.999937,249999.9842
43,485,2,1999.999937,249999.9842
44,404,1,1999.999937,249999.9842
45,379,1,1999.999937,249999.9842
46,177,2,1999.999937,249999.9842
47,421,1,1999.999937,249999.9842
48,212,2,1999.999937,249999.9842
49,310,1,2000.000593,250000.1483
50,398,1,1999.999937,249999.9842
51,88,1,1999.999937,249999.9842
52,264,1,1999.999937,249999.9842
53,105,1,1999.999937,249999.9843
54,39,1,1999.999937,249999.9842
55,227,1,1999.999937,249999.9842
56,156,1,1999.999937,249999.9842
57,321,2,2000.000593,250000.1483
58,63,1,1999.999937,249999.9842
59,110,1,1999.999937,249999.9843
60,261,1,1999.999937,249999.9842
61,42,1,1999.999937,249999.9842
62,171,2,1999.999937,249999.9842
63,228,1,1999.999937,249999.9842
64,106,3,1999.999937,249999.9843
65,225,1,1999.999937,249999.9842
66,139,1,1999.999937,249999.9842
67,291,5,2000.000593,250000.1483
68,385,1,1999.999937,249999.9842
69,224,2,1999.999937,249999.9842
70,260,1,1999.999937,249999.9842
71,551,2,1999.999937,249999.9842
72,349,1,1999.999937,249999.9842
73,286,1,2000.000593,250000.1483
74,356,4,1999.999937,249999.9842
75,563,1,1999.999937,249999.9842
76,478,1,1999.999937,249999.9842
77,187,2,1999.999937,249999.9842
78,331,1,1999.999937,249999.9842
79,434,1,1999.999937,249999.9842
80,43,1,1999.999937,249999.9842
81,318,2,2000.000593,250000.1483
82,472,3,1999.999937,249999.9842
83,255,3,1999.999937,249999.9842
84,477,1,1999.999937,249999.9842
85,468,2,1999.999937,249999.9842
86,358,1,1999.999937,249999.9842
87,510,1,1999.999937,249999.9842
88,141,1,1999.999937,249999.9842
89,19,1,1999.999937,249999.9842
90,158,1,1999.999937,249999.9842
91,452,1,1999.999937,249999.9842
92,249,1,1999.999937,249999.9842
93,174,3,1999.999937,249999.9842
94,566,1,1999.999937,249999.9842
95,281,1,1999.999937,249999.9842
96,226,6,1999.999937,249999.9842
97,317,2,2000.000593,250000.1483
98,257,3,1999.999937,249999.9842
99,561,1,1999.999937,249999.9842
100,355,1,2000.000593,250000.1483
101,359,1,1999.999937,249999.9842
102,284,2,1999.999937,249999.9842
103,513,1,1999.999937,249999.9842
104,129,1,1999.999937,249999.9842
105,469,10,1999.999937,249999.9842
106,386,1,1999.999937,249999.9842
